epoch,linear,knn,eff_dim,patch_div,silhouette
0,0.8333,0.6822,5.946,0.3451,0.2135
10,0.8067,0.6667,2.992,0.1622,0.3244
20,0.8067,0.6778,2.862,0.1427,0.3311
30,0.8200,0.7067,2.939,0.1543,0.3226
40,0.8356,0.7133,3.032,0.1690,0.3142
50,0.8511,0.7311,3.165,0.1796,0.2947
60,0.8667,0.7467,3.243,0.1891,0.2718
70,0.8756,0.7733,3.324,0.1982,0.2671
80,0.8911,0.7778,3.432,0.2059,0.2644
90,0.8911,0.7911,3.549,0.2148,0.2606
100,0.8800,0.7956,3.737,0.2238,0.2879
110,0.8800,0.8222,3.945,0.2328,0.2902
120,0.8867,0.8178,4.207,0.2442,0.2891
130,0.8911,0.8356,4.488,0.2499,0.2872
140,0.8933,0.8333,4.757,0.2560,0.2862
150,0.8956,0.8356,5.014,0.2603,0.2830
160,0.9000,0.8400,5.265,0.2647,0.2855
170,0.9111,0.8644,5.472,0.2697,0.2834
180,0.9089,0.8667,5.662,0.2710,0.2543
190,0.9089,0.8644,5.783,0.2715,0.2748
200,0.9133,0.8733,5.933,0.2718,0.2696
210,0.9178,0.8778,6.086,0.2733,0.2662
220,0.9244,0.8867,6.250,0.2746,0.2647
230,0.9289,0.8933,6.422,0.2749,0.2616
240,0.9289,0.8956,6.568,0.2754,0.2579
250,0.9267,0.8956,6.730,0.2775,0.2555
260,0.9289,0.8911,6.890,0.2787,0.2407
270,0.9244,0.8978,7.068,0.2801,0.2403
280,0.9244,0.8956,7.219,0.2836,0.2388
290,0.9222,0.9000,7.384,0.2855,0.2360
300,0.9222,0.8978,7.546,0.2873,0.2374
